features,Duration;features,FileSize;fname
15,0;1323044;00097e21,wav
15,0;1323044;000b6cfb,wav
15,0;1323044;00116cd2,wav
15,0;1323044;00127d14,wav
15,0;1323044;0019adae,wav
15,0;1323044;001b819d,wav
14,117732426303855;1245228;001c054e,wav
15,0;1323044;001ceaf1,wav
15,0;1323044;001f3501,wav
15,580589569160997;1374252;0020becb,wav
15,0;1323044;002190ca,wav
15,09297052154195;1331244;0021e588,wav
15,0;1323044;0022e717,wav
15,0;1323044;0024f39c,wav
15,0;1323044;002a3dd5,wav
15,0;1323044;002d3508,wav
15,0;1323044;002d93e0,wav
15,0;1323044;0030c602,wav
15,0;1323044;0035d771,wav
15,0;1323044;0038b7f7,wav
13,630113378684808;1202220;003e23a2,wav
15,0;1323044;003f8fd9,wav
15,0;1323044;00406f52,wav
15,0;1323044;0041f54a,wav
9,009342403628118;794668;004a8eec,wav
15,0;1323044;004ac24a,wav
15,0;1323044;004b1f5d,wav
15,0;1323044;004f0d27,wav
15,0;1323044;004f33f2,wav
15,0;1323044;00577c11,wav
15,0;1323044;0059dcc1,wav
15,0;1323044;005a6d3e,wav
15,0;1323044;0060d886,wav
15,0;1323044;00643eb4,wav
15,0;1323044;0064e4b6,wav
15,0;1323044;006547fa,wav
15,0;1323044;006817ad,wav
6,302766439909297;555948;006993cc,wav
15,0;1323044;006d7b1d,wav
15,0;1323044;00703e40,wav
15,0;1323044;00728bae,wav
15,0;1323044;00752915,wav
15,0;1323044;00764397,wav
15,0;1323044;007bcf5c,wav
15,0;1323044;007c570e,wav
15,0;1323044;0080c2b3,wav
15,0;1323044;0080c38c,wav
15,0;1323044;0082d1ef,wav
15,0;1323044;00832850,wav
15,0;1323044;00894595,wav
15,0;1323044;008f31f6,wav
15,0;1323044;0091b5e2,wav
15,0;1323044;00988b68,wav
15,0;1323044;0098fb8c,wav
15,0;1323044;009e88d5,wav
15,0;1323044;00a83e1b,wav
15,0;1323044;00acc409,wav
15,0;1323044;00b5098f,wav
15,0;1323044;00b698e1,wav
15,0;1323044;00b6ed8d,wav
15,0;1323044;00b9e265,wav
15,0;1323044;00bea733,wav
15,0;1323044;00c5a2da,wav
15,0;1323044;00cc36e9,wav
15,0;1323044;00ccd454,wav
15,0;1323044;00d23728,wav
15,0;1323044;00d281c8,wav
15,0;1323044;00d32fb2,wav
15,0;1323044;00d61180,wav
15,0;1323044;00d72135,wav
15,0;1323044;00dd74f4,wav
15,0;1323044;00de1887,wav
15,0;1323044;00de18c2,wav
10,216780045351474;901164;00e10f1f,wav
8,266303854875284;729132;00e1ed10,wav
15,0;1323044;00e645ea,wav
15,0;1323044;00e70ab4,wav
6,5712471655328795;579628;00ea7b09,wav
15,0;1323044;00f0a206,wav
15,0;1323044;00f372ab,wav
15,0;1323044;00fb384d,wav
15,0;1323044;00fcaf4c,wav
15,0;1323044;00fe9848,wav
15,0;1323044;01024055,wav
15,0;1323044;01044063,wav
11,911836734693878;1050668;0104cf7d,wav
15,0;1323044;0106eb6e,wav
15,0;1323044;0107399e,wav
15,0;1323044;0107d033,wav
15,0;1323044;010a1537,wav
15,0;1323044;010a535c,wav
15,0;1323044;010af543,wav
15,0;1323044;011254b9,wav
15,0;1323044;01131cb2,wav
15,0;1323044;0114bd77,wav
15,0;1323044;0115e06c,wav
15,0;1323044;0116583f,wav
15,0;1323044;011729fb,wav
15,0;1323044;011789b4,wav
15,0;1323044;011fac4e,wav
10,611519274376418;935980;012293ea,wav
10,565079365079365;931884;01261782,wav
15,0;1323044;012ec31b,wav
15,0;1323044;012ef7ae,wav
15,0;1323044;013978ee,wav
15,0;1323044;013a1712,wav
15,0;1323044;013d4747,wav
15,0;1323044;0141bddf,wav
8,080544217687075;712748;01421f72,wav
15,0;1323044;01472913,wav
15,0;1323044;014f7e91,wav
15,0;1323044;01500958,wav
15,0;1323044;0151c25a,wav
15,0;1323044;0151ec95,wav
15,0;1323044;01530225,wav
15,0;1323044;015965c3,wav
15,0;1323044;015aeac7,wav
15,0;1323044;015e1494,wav
10,054240362811791;886828;01629c63,wav
15,0;1323044;016380e8,wav
15,0;1323044;01652a34,wav
15,0;1323044;01676032,wav
13,839092970521541;1220652;0168bf88,wav
15,0;1323044;01694099,wav
15,0;1323044;016c995b,wav
15,0;1323044;016dc25b,wav
15,0;1323044;01749ae3,wav
